paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel
36,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,04,03,ET
36,stan,NN.UTR.SIN.DEF.NOM,|stad|,|stad..nn.1|,|stad..1:-1.000|,|,|,0,05,04,PA
36,överträffade,VB.PRT.AKT,|överträffa|,|överträffa..vb.1|,|överträffa..1:-1.000|,|över..ab.1+träffa..vb.1:6.081e-10|över..av.1+träffa..vb.1:1.820e-20|öva..vb.1+era..nn.1+träffa..vb.1:4.287e-33|,|över+träffade|öv+er+träffade|,,06,0,ROOT
36,alla,DT.UTR+NEU.PLU.IND+DEF,|all|,|all..pn.1|,|all..1:-1.000|,|,|,,07,09,DT
36,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,08,09,DT
36,förväntningar,NN.UTR.PLU.IND.NOM,|förväntning|,|förväntning..nn.1|,|förväntning..1:-1.000|,|,|,1,09,06,OO
36,.,MAD,|,|,|,|,|,,10,06,IP
37,Att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,01,08,SS
37,hitta,VB.INF.AKT,|hitta|,|hitta..vb.1|,|hitta..1:-1.000|,|hit..ab.1+ta..vb.1:8.468e-09|hit..nn.1+ta..vb.1:5.819e-12|,|hit+ta|,0,02,01,IF
37,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,03,05,DT
37,bortglömd,JJ.POS.UTR.SIN.IND.NOM,|bortglömd|,|bortglömd..av.1|,|bortglömd..1:-1.000|,|bort..ab.1+glömd..av.1:2.337e-11|,|bort+glömd|,,04,05,AT
37,tjuga,NN.UTR.SIN.IND.NOM,|tjuga|,|tjuga..nn.1|,|tjuga..2:0.935|tjuga..1:0.065|,|,|,,05,02,OO
37,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,06,02,+A
37,jackfickan,NN.UTR.SIN.DEF.NOM,|jackficka|,|jackficka..nn.1|,|jackficka..1:-1.000|,|jacka..nn.1+ficka..nn.1:5.662e-12|jack..nn.1+ficka..nn.1:5.662e-12|jack..nn.2+ficka..nn.1:5.662e-12|,|jack+fickan|,,07,06,HD
37,gjorde,VB.PRT.AKT,|göra|,|göra..vb.1|,|göra..1:0.435|göra..3:0.434|göra..2:0.131|,|,|,0,08,0,ROOT
37,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,09,10,DT
37,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.885|dag..2:0.115|,|,|,0,10,08,OO
37,.,MAD,|,|,|,|,|,,11,08,IP
38,Vårt,PS.NEU.SIN.DEF,|vi|,|vi..pn.1|,|vi..1:-1.000|,|,|,,1,2,DT
38,teamprojekt,NN.NEU.SIN.IND.NOM,|teamprojekt|,|,|,|team..nn.1+projekt..nn.1:1.737e-10|te..nn.1+amma..nn.1+projekt..nn.1:1.468e-16|,|team+projekt|te+am+projekt|,,2,3,SS
38,fick,VB.PRT.AKT,|få|,|få..vb.1|,|få..1:0.944|få..3:0.056|,|,|,1,3,0,ROOT
38,beröm,NN.NEU.PLU.IND.NOM,|beröm|,|beröm..nn.1|,|beröm..1:-1.000|,|,|,1,4,3,OO
38,från,PP,|från|,|från..pp.1|,|från..1:-1.000|,|,|,,5,3,RA
38,chefen,NN.UTR.SIN.DEF.NOM,|chef|,|chef..nn.1|,|chef..1:-1.000|,|,|,0,6,5,PA
38,idag,AB,|idag|,|idag..ab.1|,|i_dag..1:-1.000|i_dag..2:-1.000|,|,|,,7,3,TA
38,.,MAD,|,|,|,|,|,,8,3,IP
39,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS
39,vann,VB.PRT.AKT,|vinna|,|vinna..vb.1|,|vinna..1:0.599|vinna..2:0.401|,|,|,1,2,0,ROOT
39,första,RO.NOM,|,|,|,|,|,,3,4,DT
39,pris,NN.NEU.SIN.IND.NOM,|pris|,|pris..nn.1|pris..nn.2|,|pris..1:0.582|pris..2:0.265|pris..3:0.154|,|,|,0,4,2,OO
39,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,5,4,ET
39,den,DT.UTR.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,6,8,DT
39,lokala,JJ.POS.UTR+NEU.SIN.DEF.NOM,|lokal|,|lokal..av.1|,|lokal..2:-1.000|,|lo..nn.1+kal..av.1:6.916e-14|,|lo+kala|,0,7,8,AT
39,fototävlingen,NN.UTR.SIN.DEF.NOM,|fototävling|,|,|,|foto..nn.1+tävling..nn.1:1.026e-10|,|foto+tävlingen|,,8,5,PA
39,!,MAD,|,|,|,|,|,,9,2,IU
40,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,DT
40,trädgård,NN.UTR.SIN.IND.NOM,|trädgård|,|trädgård..nn.1|,|trädgård..1:-1.000|,|träd..nn.1+gård..nn.2:5.873e-11|träd..nn.1+gård..nn.1:5.873e-11|träda..nn.1+gård..nn.1:5.873e-11|träda..nn.1+gård..nn.2:5.873e-11|trä..vb.1+gård..nn.1:1.196e-20|träda..vb.1+gård..nn.1:1.196e-20|träda..vb.2+gård..nn.1:1.196e-20|träda..vb.1+gård..nn.2:1.196e-20|träda..vb.2+gård..nn.2:1.196e-20|trä..vb.1+gård..nn.2:1.196e-20|,|träd+gård|,0,02,03,SS
40,blomstrar,VB.PRS.AKT,|blomstra|,|blomstra..vb.1|,|blomstra..1:-1.000|,|,|,,03,04,MS
40,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,04,0,ROOT
40,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,05,06,SS
40,känns,VB.PRS.SFO,|känna|kännas|,|känna..vb.1|känna..vb.2|kännas..vb.1|,|kännas..1:0.476|känna..1:0.260|känna..2:0.151|känna..4:0.087|känna..3:0.025|,|,|,0,06,04,MS
40,som,KN,|,|,|,|,|,,07,06,SP
40,ett,DT.NEU.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,08,10,DT
40,litet,JJ.POS.NEU.SIN.IND.NOM,|liten|,|liten..av.1|,|liten..1:-1.000|,|,|,0,09,10,AT
40,paradis,NN.NEU.SIN.IND.NOM,|paradis|,|paradis..nn.1|,|paradis..1:-1.000|,|parad..nn.1+i..nn.1:3.370e-12|parad..nn.1+is..nn.1:3.370e-12|,|parad+is|,,10,07,UA
40,.,MAD,|,|,|,|,|,,11,04,IP
41,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS
41,lägger,VB.PRS.AKT,|lägga|,|lägga..vb.1|,|lägga..1:0.447|lägga..3:0.321|lägga..2:0.233|,|lägga..vb.1+ge..vb.1:4.854e-12|lägg..nn.1+ge..vb.1:1.785e-12|lägg..nn.2+ge..vb.1:1.785e-12|,|lägg+ger|,0,2,0,ROOT
41,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,3,4,DT
41,nycklar,NN.UTR.PLU.IND.NOM,|nyckel|,|nyckel..nn.1|,|nyckel..1:0.852|nyckel..2:0.113|nyckel..3:0.034|,|,|,,4,2,OO
41,alltid,AB,|alltid|,|alltid..ab.1|,|alltid..1:-1.000|,|,|,,5,2,TA
41,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,6,2,OA
41,samma,DT.UTR+NEU.SIN+PLU.IND,|samma|,|samma..pn.1|,|samma..1:-1.000|,|,|,,7,8,DT
41,plats,NN.UTR.SIN.IND.NOM,|plats|,|plats..nn.1|,|plats..1:0.806|plats..2:0.194|plats..3:0.000|,|,|,0,8,6,PA
41,.,MAD,|,|,|,|,|,,9,2,IP
42,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,SS
42,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,2,0,ROOT
42,dags,NN.UTR.-.-.-,|dag|dags|,|dag..nn.1|dags..nn.1|,|dags..1:0.677|dag..1:0.293|dag..2:0.030|,|,|,0,3,2,SP
42,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,4,3,ET
42,årets,NN.NEU.SIN.DEF.GEN,|år|,|år..nn.1|,|år..1:-1.000|,|å..nn.2+r..nn.1:2.976e-13|,|å+rets|,0,5,6,DT
42,influensavaccin,NN.NEU.SIN.IND.NOM,|influensavaccin|,|,|,|influensa..nn.1+vaccin..nn.1:9.396e-12|,|influensa+vaccin|,,6,4,PA
42,snart,AB.POS,|snar|snart|,|snar..av.1|snart..ab.1|,|snart..1:0.716|snar..1:0.178|snar..2:0.106|,|,|,,7,2,TA
42,.,MAD,|,|,|,|,|,,8,2,IP
43,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS
43,läser,VB.PRS.AKT,|läsa|,|läsa..vb.1|,|läsa..1:0.935|läsa..2:0.065|,|lä..nn.1+se..vb.1:1.311e-11|,|lä+ser|,0,2,0,ROOT
43,oftast,AB.SUV,|ofta|,|ofta..ab.1|,|ofta..1:-1.000|,|,|,,3,2,TA
43,nyheterna,NN.UTR.PLU.DEF.NOM,|nyhet|,|nyhet..nn.1|,|nyhet..1:-1.000|,|,|,1,4,2,OO
43,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,5,2,OA
43,morgonen,NN.UTR.SIN.DEF.NOM,|morgon|,|morgon..nn.1|,|morgon..1:-1.000|,|mora..nn.1+gon..nn.1:1.371e-13|mor..nn.2+gon..nn.1:1.371e-13|mor..nn.1+gon..nn.1:1.371e-13|mora..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.2+go..nn.1+n..nn.1:2.522e-25|mor..nn.2+go..nn.2+n..nn.1:2.522e-25|mor..nn.2+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.1+nen..nn.1:2.522e-25|mora..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..av.1+n..nn.1:9.768e-27|mor..nn.2+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+nen..nn.1:9.768e-27|mor..nn.1+go..av.1+n..nn.1:9.768e-27|mor..nn.1+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+n..nn.1:9.768e-27|,|mor+gonen|mor+go+nen|,0,6,5,PA
43,.,MAD,|,|,|,|,|,,7,2,IP
44,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS
44,funderar,VB.PRS.AKT,|fundera|,|fundera..vb.1|,|fundera..1:-1.000|,|,|,0,2,0,ROOT
44,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,3,2,AA
44,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,4,3,PA
44,byta,VB.INF.AKT,|byta|,|byta..vb.1|,|byta..1:-1.000|,|by..nn.1+ta..vb.1:1.923e-10|,|by+ta|,0,5,4,IF
44,mobiltelefonmodell,NN.UTR.SIN.IND.NOM,|mobiltelefonmodell|,|,|,|mobiltelefon..nn.1+modell..nn.1:6.197e-11|mobil..av.1+telefon..nn.1+modell..nn.1:2.264e-16|mo..nn.1+biltelefon..nn.1+modell..nn.1:4.659e-20|mobil..nn.1+telefon..nn.1+modell..nn.1:2.998e-24|,|mobiltelefon+modell|mobil+telefon+modell|mo+biltelefon+modell|,,6,5,OO
44,.,MAD,|,|,|,|,|,,7,2,IP
45,I,PP,|i|i morgon|,|i..pp.1|i_morgon..abm.1|,|i..2:-1.000|i_morgon..1:-1.000|,|,|,,01,03,TA
45,morgon,NN.UTR.SIN.IND.NOM,|morgon|i morgon:01|,|morgon..nn.1|i_morgon..abm.1:01|,|morgon..1:-1.000|i_morgon..1:01:-1.000|,|mor..nn.2+gon..nn.1:9.321e-12|mora..nn.1+gon..nn.1:9.321e-12|mor..nn.1+gon..nn.1:9.321e-12|,|mor+gon|,0,02,01,HD
45,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,03,0,ROOT
45,en,DT.UTR.SIN.IND,|en|en annan|,|en..al.1|en_annan..pnm.1|,|den..1:-1.000|en..2:-1.000|en_annan..1:-1.000|,|,|,,04,06,DT
45,annan,JJ.POS.UTR.SIN.IND.NOM,|annan|en annan:04|,|annan..pn.1|en_annan..pnm.1:04|,|annan..1:-1.000|en_annan..1:04:-1.000|,|,|,,05,06,DT
45,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.825|dag..2:0.175|,|,|,0,06,03,SS
45,",",MID,|,|,|,|,|,,07,06,IK
45,som,HP.-.-.-,|,|,|,|,|,,08,10,OO
45,de,PN.UTR+NEU.PLU.DEF.SUB,|de|,|de..pn.1|,|de..1:-1.000|,|,|,,09,10,SS
45,säger,VB.PRS.AKT,|säga|,|säga..vb.1|,|säga..1:0.784|säga..2:0.119|säga..3:0.097|,|,|,0,10,06,ET
45,.,MAD,|,|,|,|,|,,11,03,IP
46,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,SS
46,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,2,0,ROOT
46,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,3,5,DT
46,vanlig,JJ.POS.UTR.SIN.IND.NOM,|vanlig|,|vanlig..av.1|,|vanlig..1:-1.000|,|,|,0,4,5,AT
46,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.847|dag..2:0.153|,|,|,0,5,2,SP
46,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,6,5,ET
46,kontoret,NN.NEU.SIN.DEF.NOM,|kontor|,|kontor..nn.1|,|kontor..1:-1.000|,|konto..nn.1+r..nn.1:8.914e-12|kont..nn.1+or..nn.1:6.595e-16|,|konto+ret|kont+oret|,0,7,6,PA
46,.,MAD,|,|,|,|,|,,8,2,IP
47,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS
47,behöver,VB.PRS.AKT,|behöva|,|behöva..vb.1|,|behöva..1:-1.000|,|,|,0,2,0,ROOT
47,köpa,VB.INF.AKT,|köpa|,|köpa..vb.1|köpa..vb.2|,|köpa..1:0.993|köpa..2:0.007|,|,|,0,3,2,VG
47,nya,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,0,4,5,AT
47,skor,NN.UTR.PLU.IND.NOM,|sko|,|sko..nn.1|,|sko..1:-1.000|,|,|,0,5,3,OO
47,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,6,3,OA
47,vintern,NN.UTR.SIN.DEF.NOM,|vinter|,|vinter..nn.1|,|vinter..1:-1.000|,|vina..nn.1+tern..nn.1:7.705e-12|vin..nn.1+tern..nn.1:7.705e-12|vin..nn.2+tern..nn.1:7.705e-12|vina..vb.1+tern..nn.1:5.499e-22|vina..vb.2+tern..nn.1:5.499e-22|,|vin+tern|,0,7,6,PA
47,.,MAD,|,|,|,|,|,,8,2,IP
48,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,SS
48,ska,VB.PRS.AKT,|skola|,|skola..vb.2|,|skola..4:-1.000|,|,|,0,02,0,ROOT
48,besöka,VB.INF.AKT,|besöka|,|besöka..vb.1|,|besöka..1:-1.000|,|,|,0,03,02,VG
48,biblioteket,NN.NEU.SIN.DEF.NOM,|bibliotek|,|bibliotek..nn.1|,|bibliotek..1:-1.000|,|,|,0,04,03,OO
48,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,05,03,OA
48,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,06,05,PA
48,låna,VB.INF.AKT,|låna|,|låna..vb.1|,|låna..1:0.988|låna..2:0.012|,|,|,0,07,06,IF
48,några,DT.UTR+NEU.PLU.IND,|någon|,|någon..pn.1|,|någon..1:-1.000|,|,|,,08,09,DT
48,böcker,NN.UTR.PLU.IND.NOM,|bok|,|bok..nn.1|,|bok..1:-1.000|,|,|,0,09,07,OO
48,.,MAD,|,|,|,|,|,,10,02,IP
49,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS
49,dricker,VB.PRS.AKT,|dricka|,|dricka..vb.1|,|dricka..1:0.510|dricka..4:0.490|,|,|,0,2,0,ROOT
49,alltid,AB,|alltid|,|alltid..ab.1|,|alltid..1:-1.000|,|,|,,3,2,TA
49,två,RG.NOM,|två|,|två..nl.1|,|två..1:-1.000|,|,|,,4,5,DT
49,koppar,NN.UTR.PLU.IND.NOM,|kopp|,|kopp..nn.1|,|kopp..1:-1.000|,|koppa..nn.1+par..nn.1:1.648e-09|kopp..nn.1+par..nn.1:1.648e-09|koppa..vb.1+par..nn.1:3.481e-19|,|kopp+par|,,5,6,DT
49,kaffe,NN.NEU.SIN.IND.NOM,|kaffe|,|kaffe..nn.1|,|kaffe..1:-1.000|,|,|,0,6,2,OO
49,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,7,6,ET
49,morgonen,NN.UTR.SIN.DEF.NOM,|morgon|,|morgon..nn.1|,|morgon..1:-1.000|,|mora..nn.1+gon..nn.1:1.371e-13|mor..nn.2+gon..nn.1:1.371e-13|mor..nn.1+gon..nn.1:1.371e-13|mora..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.2+go..nn.1+n..nn.1:2.522e-25|mor..nn.2+go..nn.2+n..nn.1:2.522e-25|mor..nn.2+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.1+nen..nn.1:2.522e-25|mora..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..av.1+n..nn.1:9.768e-27|mor..nn.2+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+nen..nn.1:9.768e-27|mor..nn.1+go..av.1+n..nn.1:9.768e-27|mor..nn.1+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+n..nn.1:9.768e-27|,|mor+gonen|mor+go+nen|,0,8,7,PA
49,.,MAD,|,|,|,|,|,,9,2,IP
50,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,SS
50,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,2,0,ROOT
50,dags,NN.UTR.-.-.-,|dag|dags|,|dag..nn.1|dags..nn.1|,|dags..1:0.721|dag..1:0.244|dag..2:0.035|,|,|,0,3,2,SP
50,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,4,3,ET
50,plantera,VB.INF.AKT,|plantera|,|plantera..vb.1|,|plantera..1:-1.000|,|,|,,5,4,IF
50,om,PP,|om|,|om..pp.1|,|om..1:-1.000|om..5:-1.000|,|,|,,6,5,OA
50,krukväxterna,NN.UTR.PLU.DEF.NOM,|krukväxt|,|krukväxt..nn.1|,|krukväxt..1:-1.000|,|kruka..nn.1+växt..nn.1:2.461e-15|,|kruk+växterna|,,7,6,PA
50,.,MAD,|,|,|,|,|,,8,2,IP
51,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,SS
51,fastnade,VB.PRT.AKT,|fastna|,|fastna..vb.1|,|fastna..1:-1.000|,|,|,0,02,05,MS
51,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,03,02,RA
51,trafiken,NN.UTR.SIN.DEF.NOM,|trafik|,|trafik..nn.1|,|trafik..1:0.865|trafik..2:0.135|,|,|,0,04,03,PA
51,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,05,0,ROOT
51,kom,VB.PRT.AKT,|komma|komma för|,|komma..vb.1|komma_för..vbm.1|,|komma..3:0.632|komma..1:0.368|komma_för..1:-1.000|,|,|,1,06,05,+F
51,för,AB,|för|komma för:06|för sent|,|för..ab.1|komma_för..vbm.1:06|för_sent..abm.1|,|försent..1:0.853|för..3:0.130|för..8:0.016|komma_för..1:06:-1.000|,|,|,,07,08,AA
51,sent,AB.POS,|sen|för sent:07|,|sen..av.1|för_sent..abm.1:07|,|sen..1:1.000|försent..1:07:0.000|,|,|,0,08,09,PA
51,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,09,06,RA
51,mötet,NN.NEU.SIN.DEF.NOM,|möte|,|möte..nn.1|,|möte..1:-1.000|,|,|,0,10,09,PA
51,.,MAD,|,|,|,|,|,,11,05,IP
52,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,01,02,FS
52,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,02,0,ROOT
52,så,AB,|så|,|så..ab.1|,|så..1:-1.000|,|,|,,03,04,AA
52,tråkigt,JJ.POS.NEU.SIN.IND.NOM,|tråkig|,|tråkig..av.1|,|tråkig..1:0.963|tråkig..2:0.037|,|,|,-1,04,02,SP
52,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,05,02,ES
52,dagarna,NN.UTR.PLU.DEF.NOM,|dag|,|dag..nn.1|,|dag..1:0.749|dag..2:0.251|,|,|,0,06,07,SS
52,blir,VB.PRS.AKT,|bli|,|bli..vb.1|,|bli..1:0.785|bli..2:0.215|,|,|,0,07,05,UA
52,kortare,JJ.KOM.UTR+NEU.SIN+PLU.IND+DEF.NOM,|kort|,|kort..av.1|,|kort..1:-1.000|,|,|,0,08,07,SP
52,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,09,07,OA
52,hösten,NN.UTR.SIN.DEF.NOM,|höst|,|höst..nn.1|,|höst..1:-1.000|,|hö..nn.1+sten..nn.2:3.309e-11|hö..nn.1+sten..nn.1:3.309e-11|,|hö+sten|,0,10,09,PA
52,.,MAD,|,|,|,|,|,,11,02,IP
53,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,SS
53,glömde,VB.PRT.AKT,|glömma|,|glömma..vb.1|,|glömma..1:0.962|glömma..2:0.038|,|,|,0,02,05,MS
53,mitt,PS.NEU.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,03,04,DT
53,paraply,NN.NEU.SIN.IND.NOM,|paraply|,|paraply..nn.1|,|paraply..1:-1.000|,|par..nn.1+apa..nn.1+ly..nn.1:2.232e-18|para..vb.1+apa..nn.1+ly..nn.1:5.784e-29|,|par+ap+ly|,,04,02,OO
53,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,05,0,ROOT
53,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..2:0.550|bli..1:0.450|,|,|,0,06,05,+F
53,genomblöt,JJ.POS.UTR.SIN.IND.NOM,|genomblöt|,|genomblöt..av.1|,|genomblöt..1:-1.000|,|genom..nn.1+blöt..av.1:2.122e-20|gen..nn.1+om..ab.1+blöt..av.1:3.377e-18|gen..av.1+om..ab.1+blöt..av.1:3.182e-26|gena..vb.1+om..ab.1+blöt..av.1:6.370e-27|gen..nn.1+om..nn.1+blöt..av.1:1.740e-27|gen..av.1+om..nn.1+blöt..av.1:1.967e-35|gena..vb.1+om..nn.1+blöt..av.1:4.374e-36|,|genom+blöt|gen+om+blöt|,,07,06,SP
53,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,08,06,RA
53,regnet,NN.NEU.SIN.DEF.NOM,|regn|,|regn..nn.1|,|regn..1:0.989|regn..2:0.011|,|,|,,09,08,PA
53,.,MAD,|,|,|,|,|,,10,05,IP
54,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,DT
54,dator,NN.UTR.SIN.IND.NOM,|dator|,|dator..nn.1|,|dator..1:-1.000|,|,|,0,2,3,SS
54,kraschade,VB.PRT.AKT,|krascha|,|krascha..vb.1|krascha..vb.2|,|krascha..2:0.808|krascha..1:0.192|,|,|,,3,4,MS
54,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,4,0,ROOT
54,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,5,6,SS
54,förlorade,VB.PRT.AKT,|förlora|,|förlora..vb.1|,|förlora..1:0.865|förlora..2:0.135|förlora..3:0.000|,|,|,-1,6,4,MS
54,viktiga,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|viktig|,|viktig..av.1|,|viktig..2:0.689|viktig..1:0.311|,|,|,-1,7,8,AT
54,filer,NN.UTR.PLU.IND.NOM,|fil|,|fil..nn.1|,|fil..1:0.510|fil..5:0.356|fil..4:0.134|,|,|,,8,6,OO
54,.,MAD,|,|,|,|,|,,9,4,IP
55,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,SS
55,har,VB.PRS.AKT,|ha|ha ont|,|ha..vb.1|ha_ont..vbm.1|,|ha..1:0.656|ha..3:0.344|ha_ont..1:-1.000|,|,|,0,02,0,ROOT
55,ont,AB.POS,|ond|ha ont:02|,|ond..av.1|ha_ont..vbm.1:02|,|ond..2:0.788|ond..1:0.133|ond..3:0.049|ond..4:0.031|ha_ont..1:02:-1.000|,|,|,-1,03,02,AA
55,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,04,02,RA
55,halsen,NN.UTR.SIN.DEF.NOM,|hals|,|hals..nn.1|,|hals..1:0.991|hals..2:0.009|,|hal..av.1+s..nn.1:6.765e-21|hala..vb.1+s..nn.1:1.087e-28|,|hal+sen|,,05,04,PA
55,",",MID,|,|,|,|,|,,06,02,IK
55,kanske,AB,|kanske|,|kanske..ab.1|,|kanske..1:-1.000|,|,|,,07,02,MA
55,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,08,02,VG
55,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,09,08,SS
